name,price,status,shipping,free_returns,items_sold
Chinese Black Tea-2Lb-Bulk Loose Leaf China Black Tea Southern Style Iced Tea,1986,Brand New,3,False,85
New ListingNoonBrew SuperFood Iced Tea - with 19 SuperFoods • 30 Servings • Pack of 1,4799,Brand New,610,False,
Lipton Zero Sugar Iced Tea Peach 16.9 Oz (pack of 12) Free Priority Shipping,2499,Brand New,3,False,111
"Lipton Unsweetened Iced Tea Mix, Caffeinated, Makes 30 Quarts, 17 oz, Sugar-Free",643,Brand New,3,False,
"BOBA Black Tapioca Pearl Bubble Tea 8.8 oz for Milk Tea, Thai Tea, Iced Coffee",795,Brand New,3,False,615
Ranong Instant Thai Milk Tea Mix & Matcha Green Tea Latte Combo w boba pearls ,1799,Brand New,3,False,87
"3 x BOBA Black Tapioca Pearl Bubble Tea 8.8 oz for Milk Tea,Thai Tea,Iced Coffee",1595,Brand New,3,False,276
The Original Thai Iced Tea Mix (TWO bags) ~ Number One Brand Imported From,1625,Brand New,3,False,
Number One The Original Thai Iced Tea Mix - Number One Brand Imported From Thai,1215,Brand New,3,False,
Lipton Family Size Decaffeinated Black Iced Tea Tea Bags 48 Count,1327,Brand New,0,True,
Halfday Prebiotic Lemon Iced Tea 12-Pack - Nostalgic Flavor Low Sugar Incredi...,6583,Brand New,3,True,
Nestea Tea Instant Unsweetened Mix Powder Iced Drink Nestle 200g Nosugar 1X200g,2589,Brand New,0,False,
Fresh Brew  Ice  Tea Farmer Brothers Black Tea For Sweetening 48x1 oz Pouch,2900,Brand New,3,False,148
10 x 200g Nestea Unsweetened Instant Tea Mix Nestle Instant Tea Powder No Sugar,14400,Brand New,0,False,
Crystal Light Pure PEACH ICED TEA Drink Mix Singles - 4 Boxes - 7 Packets Each,1898,Brand New,0,False,
"Lipton Sweetened Iced Tea Mix, Peach (89.8 Oz.) FREE SHIPPING",1331,Brand New,300,False,
Sportea-Iced Tea  Quart-Size Bag Sport Tea 7 Bag,1897,Brand New,3,False,
"Lipton Iced Tea Mix Black Tea, Decaffeinated, 30 Quarts",715,Brand New,300,False,7
Organic Uva Ursi Leaves,599,Brand New,3,False,
Lipton Green Tea Citrus Iced Tea Mix 47.2 Oz,1552,Brand New,500,False,
Green Tea Fine Cut Tea Blend With Apricot Hibiscus and Rosehips  Hot Or Iced Tea,477,Brand New,3,True,
Raspberry Tea 100% Natural ACRIL ICED Tea 2022 Loose Leaf Premium Raspberry Tea,830,Brand New,0,False,
"New ListingLuzianne, Black Iced Tea, Tea Bags, 24 ct Pack of 2",1599,Brand New,3,False,
purple papayaberry iced tea pouch 12 count bag makes 32 oz   each,1700,Brand New,3,False,
"HEB Peach Iced Tea K-Cups, 12 ct.",1350,Brand New,450,False,
"AriZona Green Tea with Ginseng Iced Tea Stix Sugar-Free, 10ct Stix Powder Pack",499,Brand New,499,False,
Lipton Tea and Honey Mango Pineapple Iced Green Tea To-Go (3 Boxes/30 Packets),1499,Brand New,0,False,
"Ginger Orange Peach Organic Green Tea Choose loose leaf, tea bags or ice tea ",915,Brand New,0,False,
Best Thai Tea Leave Mix Pantai (Pantainorasingh) Brand 16 oz. / 1 Lb.,1495,Brand New,3,False,
Iced Tea Blend Spiced Pineapple Cinnamon China Black Aged Loose Leaf Aged CB,477,Brand New,3,True,
Wyler's Light Drink Mix Singles Lemon Tea Set of 6 boxes,1785,Brand New,0,True,
"BOBA Black Tapioca Pearl Bubble Tea 8.8 oz for Milk Tea, Thai Tea, Iced Coffee",795,Brand New,3,True,
Number One ChaTraMue Brand Classic Thai Tea for Thai Iced Tea 14.1 Oz.USA Seller,1495,Brand New,3,False,
Celestial Seasonings Cold Brew Iced Tea Sweetened with Lemon,925,Brand New,3,False,
(6)  Paradise Tropical Iced Tea 1oz Filter Bags NEW,2499,Brand New,599,False,
Celestial Seasonings Cold Brew Iced Tea Sweetened with Lemon,399,Brand New,199,True,
(10)  Paradise Tropical Iced Tea 1oz Filter Bags NEW,3999,Brand New,299,False,
Blood orange iced tea 12 count bag makes 32 ounces each premium loose leaf decaf,1675,Brand New,3,False,
Ceylon Ratnapura Aged Black Tea Whole Leaf Superb Hot or Iced 1/2 oz  15 Grams,417,Brand New,3,True,
"Authentic Thai Iced Tea Flavored Black Tea, 20 Tea bags - NEW",10000,Brand New,3,False,360
"Celestial Seasonings Cold Brew Iced Tea Red, White & Blueberry",925,Brand New,3,False,
"Rooibos Tea Organic loose leaf choice flavors, by oz or tea bags   free shipping",725,Brand New,0,False,
Wyler's Light Peach Tea Drink Mix Singles Set of 6,1836,Brand New,0,True,
Lipton Tea and Honey Blackberry Pomegranate Iced Green Tea To-Go - 3 Boxes/30 Ct,1499,Brand New,0,False,33
Japanese Yamamotoyama Iced Matcha Green Tea Sweetened (12 Packets) Gluten Free,1345,Brand New,3,False,
Farmer Brothers Black Iced Tea For Sweetening  (48/1 oz pouches) 163072,2899,Brand New,3,False,169
Deep Sleep Relief Tea,1099,Brand New,3,False,
"New Listing4C Drink Mix, Lemon Iced Tea, 66.1 Oz, Natural Lemon Flavor, 1 Count - 28 quarts",845,Brand New,3,False,
Assam Black Tea Organic India tea Robost TGFOP - loose leaf or tea bags ice tea ,960,Brand New,0,False,
Cha Thai Tea Leaves for Thai Ice Tea 13 oz ~ Exp Oct 2023,1150,Brand New,3,True,
"1 Bag, Cha, Thai Tea Leaves Mix, Thai Iced Tea, 13 oz, Good For Restaurant.",1175,Brand New,3,True,
NoonBrew SuperFood Iced Tea - 19 SuperFoods and 30 Servings (Pack of 1) ,6295,Brand New,3,False,
"Peach Fruit Tea, Decaffeinated, Delicious to Enjoy Hot and Iced, Loose Leaf Tea",1099,Brand New,3,False,
Tropical Sensation Black Tea,450,Brand New,3,False,
"Cherry Jasmine Green Tea Organic available in loose leaf, tea bags, ice tea brew",915,Brand New,0,False,
Nestea Ice Teasers Wild Cherry Sugar Free 3 Sealed Packs Prop Expired Vtg 1980s,9999,Brand New,3,True,
Tea Forte 2 Glass Brewing Pitchers- Glass Tea Over Ice,3500,Brand New,1203,False,
Shop on eBay,2000,Brand New,,False,
Peach Iced Tea Mix Makes 10 Quarts (Pack of 6),4758,Brand New,3,True,
"Blood Circulation Metabolism Tea, Delicious to Enjoy Hot or Iced, Loose Leaf Tea",1198,Brand New,3,False,
Cinnamon Green Tea Fine Cut Natural Asian Tea Blend Hot Tea Iced Tea Smoothies,397,Brand New,3,True,
"Wake Up Tea, Caffeinated, Delicious to Enjoy Hot or Iced, Loose Leaf Tea",1099,Brand New,3,False,
Lipton Southern Sweet Tea Iced Tea Family Size 2 Pack (2 Boxes/44 ct),1299,Brand New,0,False,
Celestial Seasonings Cold Brew Iced Tea Half & Half,925,Brand New,3,False,
Nestea Unsweetened Instant Tea Mix Nestle Instant Tea Powder No Sugar 200 g,1925,Brand New,200,False,144
"Black China Tea - 4 Pounds - Loose Leaf, Blending, Flavored, Iced, Hot, Sweet",3150,Brand New,3,True,17
Southern Breeze Cold Brew Single Serve Sweet Tea Peach 20ct - 1 Box,899,Brand New,0,False,
"Lemonberry Blast Organic Green Tea - Choose loose leaf, tea bags ice tea bags",700,Brand New,0,False,
"4C Iced Tea Mix Variety Pack Sugar-Free Green Red Tea Lemonade, 44 Packets",1638,Brand New,3,True,45
"Watermelon Mint Black Iced Tea by The Republic of Tea, 8 Pouches",1111,Brand New,0,True,
Tearrific Magic Mango Sentation Iced Tea [12 Sachets Each Box] - EXPRESS SHIPP,8420,Brand New,0,False,
"Rooibos Sudafricanos Del Te Organico De, 100 Bolsitas De Te De La",4755,Brand New,0,True,
Ceylon Ratnapura Aged Black Tea Whole Leaf Superb Hot or Iced 3 oz ,797,Brand New,3,True,
6 Ct Country Time 1.62 Oz Lemon Iced Tea Flavored Drink Mix Best By 1/9/2023,2399,Brand New,3,True,
RED ROSE ORIGINAL FULL FLAVORED BLACK TEA Caffeinated 100 Tea Bags In Sealed Box,889,Brand New,3,True,
Lipton Iced Tea Diet Decaffeinated Lemon Caffeine-Free Black Tea Mix 10Qt 4 Pk,2199,Brand New,499,True,67
Decaf Strawberry Black Tea,599,Brand New,3,False,
Casablanca Herbal Tea,499,Brand New,3,False,
"Wegmans Just Tea, Iced Black Tea, 24 Count Bags - One Bag Makes One Quart!",675,Brand New,375,False,
Thai Tea Powder 400 gram by Three Deer Powder exp 11/23,2399,Brand New,0,False,
Black Iced Tea For Sweetening - Farmer Brothers - 4 Cases of 24/4oz (96 packs),12000,Brand New,0,False,11
Masala Chai Tea,1495,Brand New,200,True,
"Lipton Citrus Diet Sugar Free Iced Green Tea, 16.9 oz, 24 Bottles ✅",2999,Brand New,0,False,
Organic Texas Style Iced Tea,499,Brand New,3,False,
"Pure Dried Butterfly Pea Flower Tea Herbal 50gram For Hot Mix, Iced... ",1195,Brand New,3,False,
Pantai Brand - Thai Tea Leaves Mix Thai Iced Tea 16 oz / 454g - Exp: 06-2023,1150,Brand New,3,True,
Harney and Sons Iced Tea - Tangy Raspberry - 15 Count,2465,Brand New,395,False,
"Nestea  Instant Peach Sweet Iced Tea Mix,  3.17 Oz Pack of 12",3799,Brand New,3,True,
"Blood Circulation Metabolism Tea, Delicious to Enjoy Hot or Iced, Loose Leaf Tea",1198,Brand New,3,False,
"Nestea Instant Peach Sweet Iced Tea Mix, 15.87 Oz ",2245,Brand New,3,True,
"HEB Lemon Iced Tea K-Cups, 12 ct. Expires 7/23 New",1299,Brand New,3,False,
"Authentic Thai Iced Tea Flavored Black Tea,23 tea bags",942,Brand New,3,False,
Jasmine Lichee Green Tea,499,Brand New,3,False,
Expired 9/21 Lipton Iced Tea Sweet Southern Tea Keurig K Cup Cups 10 ct 5.8 oz,1030,Brand New,3,False,
(2 Pack) 4C Decaffeinated Iced Tea Lemon Mix 20 Quarts 47.2 oz  ( 4 Lb. Total ),2350,Brand New,0,False,
Organic Just For Him Herbal Tea,499,Brand New,3,False,
"Tea Peppermint, Mango & Apricot Fruity Hot Iced Loose Leaf Aged Black Tea CB",447,Brand New,3,True,
"Wake Up Tea, Caffeinated, Delicious to Enjoy Hot or Iced, Loose Leaf Tea",998,Brand New,3,False,
Enchanted Rose Black Tea,450,Brand New,3,False,
Ito En Mugicha Barley Tea 15.2 oz Caffeine Free (54 Sachets) Iced or Hot Brewing,1995,Brand New,3,False,
"Lipton Diet Iced Tea Mix, Raspberry, 10 qt",1499,Brand New,499,True,
Organic Sinus Support Herbal Tea,499,Brand New,3,False,
ICED TEA Bags MANGO GREEN Tea w/ Matcha 30 Pyarmids 2.12 oz by Touch Organic ,1799,Brand New,3,False,
(3)  Paradise Tropical Iced Tea 1oz Filter Bags NEW,1699,Brand New,499,False,
HEB Peach Iced Tea 2 Pack of 12 Single Cups Compatible with Keurig K-cup Brewer ,2745,Brand New,3,False,
New ListingLot Of 12 COUNTRY TIME LEMON ICED TEA FLAVORED DRINK MIX 1.62 FL OZ BB 01/2023,2799,Brand New,999,False,
"SPORTea Iced Tea, 7 Bags/Box, Quart Size Serving, 3oz",1399,Brand New,3,True,
Osulloc Kombucha Lychee Peach Iced Tea 10T,1999,Brand New,0,False,
"New ListingLipton Sweetened Ice Tea Mix, Raspberry 89.8 oz",1364,Brand New,0,True,
Lemon Spice Tea 2 oz. 60g Pure Chinese Rolled Black Tea Blend Hot or Iced,597,Brand New,3,True,
New ListingAuthentic Thai Iced Tea Flavored Black Tea - Pack of 3,2013,Brand New,0,True,
Lipton Sweetened Iced Tea Mix Peach Flavor 89.8 Oz Jar Powder 38 Quarts,1899,Brand New,3,False,
MILFORD ICED TEA: Watermelon 20 tea bags-Made in Germany FREE SHIPPING,929,Brand New,3,False,
Secret Garden Tea Party - Earl Grey Tea,450,Brand New,3,False,
"Organic Moringa Tea, Hibiscus",699,Brand New,0,False,
"Yamamotoyama Iced Green Tea, Unsweetened, 0.8 OZ (Pack of 1)",999,Brand New,3,False,
White Raspberry Iced Tea Pouch 4 Quarts Loose Leaf Tea,975,Brand New,3,False,
Masala Chai Black Tea Organic loose leaf tea bags healthy spices smooth vanilla,825,Brand New,0,False,
Vanilla Black Tea Organic China Black Tea Vanilla Bean loose leaf or tea bags,710,Brand New,0,False,
Lipton Family-Size Iced Tea Bags Picked At The Peak of Freshness Unsweetened Tea,443,Brand New,0,False,
