name,price,status,shipping,free_returns,items_sold
New ListingLeBron James 2020 Mosaic Organize Reactive Prizm #81 Graded NXG Gem Mint 10,2499,Pre-Owned,450,False,
New Listing2020-21 Panini Prizm Lebron James Red White Blue Prizm #1 Kobe Tribute  PSA 9,12500,,395,False,
New Listing2020-21 Donruss Optic LeBron James PURPLE Holo Prizm Card #13 Lakers!,1295,Pre-Owned,3,False,
New ListingLEBRON JAMES 2021-22 Donruss Basketball Base #12 Los Angeles Lakers,150,Pre-Owned,3,False,
New ListingNike Lebron XIX size 10.5,10000,Pre-Owned,1595,False,
Miami Heat Lebron James Swingman Adidas Mens Jersey Sz Large L+2 Inches NWT,9000,Brand New,3,False,
2014 NBA Hoops Matchups #1 Kobe Bryant LeBron James,5500,Pre-Owned,540,False,
New Listinglebron james jersey cavaliers,3000,Pre-Owned,1085,False,
New ListingLeBron James Youth T-Shirt 23 Cleveland Cavaliers Adidas NBA Finals Kids Small,600,Pre-Owned,599,False,
KOBE BRYANT - MICHAEL JORDAN - LEBRON JAMES - WADE - IVERSON 8 x 10 Photo Poster,799,Brand New,419,False,
New ListingAuthentic LeBron James Cleveland Cavaliers Statement Edition ProCut Jersey 52 XL,49999,Pre-Owned,1060,False,
New ListingNike LeBron James SVSM Irish Green Jersey Men’s XL,3000,Pre-Owned,500,False,
New ListingNike Lebron James Soldier 11 XI Boys Mens Shoes Size 6Y Green Camo Sneakers,4500,Pre-Owned,884,False,
2021-22 Panini Prizm Lebron James Dominance Insert #6 Lakers ,190,Pre-Owned,110,False,
New Listing2021 NBA Prizm Base Dominance Lebron James,199,Pre-Owned,0,True,
New Listing2021-22 Donruss LEBRON JAMES Crunch Time INSERT Lakers No. 10,199,,199,False,
NEW Sealed 2005 NBA Hardwood Heroes LEBRON JAMES Medallion Cleveland Cavaliers,650,Brand New,610,False,
New ListingMiami Heat Shirt Adult Large Black Red NBA Basketball Lebron James Mens,1888,Pre-Owned,595,True,
New Listing2004 Rare NIKE LEBRON JAMES ZOOM II 2 Basketball Sneaker Shoe Black Sz 7,11000,Pre-Owned,2220,False,
Nike Mens LA Lakers Lebron James Black MVP Dri- Fit Swingman Jersey 2022 Medium,7500,Brand New,590,False,
